company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
SP Designs,2019-01-01,https://www.spdesignfirm.com/,"Colorado Springs, Colorado, United States","Design, Real Estate","Architecture, Construction, Interior Design",2637009.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,0.0,1.0,,6,5,2019,83811,False,False
LRA Infotech,2020-01-01,https://lrainfotech.com/,"Wilmington, Delaware, United States","Information Technology, Professional Services, Software","Consulting, Information Technology, Recruiting, Software",1544151.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,63328,False,False
Always Bring Sunscreen,2018-09-26,https://www.alwaysbringsunscreen.com,"New York, New York, United States","Community and Lifestyle, Content and Publishing, Media and Entertainment, Travel and Tourism","Family, Publishing, Travel",1957540.0,"Our family likes to go on vacation, but making travel arrangements can be stressful. We created this website so your family doesn’t suffer the same worries (or make the same mistakes) as ours. Our first trips: Beaches all-inclusive resort in Turks & Caicos and Dreams all-inclusive resort in Punta Cana.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2018,70983,False,False
Student Leadership Council,2020-01-01,https://studentleadershipcouncil.com,"Washington, District of Columbia, United States","Media and Entertainment, Other, Professional Services, Social Impact","Advice, Association, Consulting, Non Profit",3155491.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,91197,False,False
iHUDDL,2018-10-03,https://ihuddl.com,"Concord, Massachusetts, United States",Financial Services,Financial Services,1993834.0,"Huddl is the first platform where everyday investors can collaborate, pool their assets and get access to products and services previously available only to the wealthy. Investors and financial service providers both benefit from the Huddl platform. Everyday investors pay lower fees and receive unprecedented access to investment managers, strategies and products through an easy to use mobile platform. Providers benefit from expanded opportunity and direct access to end investors. Our mission is to channel the collective aspirations, networks, and buying power of the general public such that every individual derives the maximum monetary and functional benefit from their consumption and investing activities.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,71951,False,False
Invicta Health Solutions,2020-01-01,https://www.invictahs.com/,"Houston, Texas, United States","Financial Services, Health Care, Information Technology","Financial Services, Health Care, Information Technology",414974.0,,101-250,0.0,M&A,,0.0,,0.0,,101-250,Private,,,,,,5,4,2020,34517,False,False
Choq,2019-01-01,https://choq.com/,"Bastrop, Texas, United States","Commerce and Shopping, Consumer Goods, Food and Beverage, Health Care, Manufacturing, Sales and Marketing","Consumer Goods, Dietary Supplements, Health Care, Manufacturing, Medical, Retail, Sales",254243.0,"CHOQ offers herbalists, natural medicine practitioners, bioharmonizers, and health conscious creators with a passion for sharing their knowledge of medicinal plants and human optimization to help you rise above the chaos and live a life of radiant vitality.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,0.0,2.0,,6,5,2019,26043,False,False
Rize Bikes,2019-01-01,https://www.rizebikes.com,"Rancho Dominguez, California, United States","Manufacturing, Transportation","Automotive, Electric Vehicle, Manufacturing",878789.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,49349,False,False
BTFL-life,2020-01-01,https://btfllife.com,"Los Angeles, California, United States","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle","Apparel, E-Commerce, Retail, Women's",1244418.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,56723,False,False
LANFarms,2020-01-01,https://lanfarms.com,"Middletown, Delaware, United States","Agriculture and Farming, Commerce and Shopping","Agriculture, AgTech, E-Commerce",104875.0,LANFarms is an agro e-commerce marketplace that connects buyers and sellers of agro products together seamlessly.,1-10,2.0,Seed,2021-06-02,108000.0,Pre-Seed,158000.0,2.0,1-10,Private,,,,,,0,4,2020,13823,False,False
Freight Trust & Clearing,2019-07-05,https://freighttrust.com,"Wilmington, Delaware, United States","Blockchain and Cryptocurrency, Financial Services","Financial Services, Smart Contracts",890044.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2019,49627,False,False
Fulfillment Now,2021-01-01,https://www.fulfillmentnow.co,"New York, New York, United States",Transportation,"Logistics, Same Day Delivery, Warehousing",2071105.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,73754,False,False
Leilo,2019-01-01,https://www.leilo.com,"New York, New York, United States","Commerce and Shopping, Food and Beverage","E-Commerce, Food and Beverage, Retail, Shopping",190237.0,"Provider of non-alcoholic relaxing beverages intended to de-stress people. The company's beverages are made with kava root extract, the amino acid I-theanine and vitamin B6, enabling people to feel good.",1-10,1.0,M&A,2022-05-14,0.0,Seed,0.0,,1-10,Private,,,,,,2,5,2019,21390,False,False
Moonshot 3D,2020-01-01,https://www.moonshot3d.com,"Anaheim, California, United States","Hardware, Information Technology, Manufacturing, Software","3D Printing, 3D Technology, Information Technology",2029668.0,"Moonshot 3D provides material proposals, 3D printing, information technology, and requirements to make geometry modification services.  The contact mode is by mail, phone, and physical address.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,72909,False,False
